count,DP1 Value,DP1 Running Time,DP2 Value,DP2 Running Time,Greedy Value,Greedy Running Time,FPTAS Value,FPTAS Running Time
1,5320.0,50.374 ms,5320.0,404.861 ms,5266.0,8.316 ms,5079.878640776699,192.616 ms
2,21352.0,27.993 ms,21352.0,3063.353 ms,21175.0,2.09 ms,20968.0859375,1069.421 ms
3,1934.0,58.165 ms,1934.0,39.977 ms,1931.0,1.692 ms,1910.072463768116,304.141 ms
4,1303.0,13.408 ms,1303.0,29.176 ms,1292.0,0.606 ms,1213.875,37.13 ms
5,29672.0,54.896 ms,29672.0,1595.743 ms,29608.0,1.402 ms,29098.585714285713,747.756 ms
6,16527.0,7.449 ms,16299.0,84.022 ms,16527.0,0.498 ms,16028.146551724138,16.731 ms
7,76801.0,220.305 ms,76468.0,1807.914 ms,76794.0,1.775 ms,75884.0081521739,625.399 ms
8,4653.0,52.961 ms,4653.0,133.466 ms,4646.0,1.57 ms,4579.166666666666,677.286 ms
9,17241.0,53.956 ms,17241.0,221.715 ms,17219.0,0.592 ms,16910.43269230769,104.756 ms
10,8996.0,3.778 ms,8996.0,93.015 ms,8996.0,0.202 ms,8585.0,9.08 ms
11,18478.0,17.002 ms,18478.0,387.794 ms,18465.0,0.438 ms,17937.0,111.446 ms
12,1740.0,1.484 ms,1740.0,618.143 ms,1642.0,0.634 ms,1427.0,532.399 ms
13,9363.0,6.742 ms,9363.0,148.326 ms,9363.0,0.208 ms,8549.152542372882,17.002 ms
14,17845.0,34.363 ms,17845.0,160.447 ms,17845.0,0.354 ms,17531.08860759494,44.296 ms
15,6815.0,0.94 ms,6815.0,13.41 ms,6815.0,0.135 ms,6071.099999999999,0.694 ms
16,764.0,0.109 ms,491.0,0.416 ms,764.0,0.085 ms,477.75,0.075 ms
17,11552.0,9.929 ms,11283.0,44.742 ms,11517.0,0.231 ms,10851.638888888889,4.472 ms
18,45218.0,96.903 ms,45218.0,830.834 ms,45187.0,0.608 ms,44407.322147651,407.724 ms
19,36517.0,64.817 ms,36517.0,1209.809 ms,36443.0,0.853 ms,35843.82978723404,667.413 ms
20,15781.0,115.513 ms,15781.0,334.941 ms,15776.0,0.723 ms,15674.3687150838,587.051 ms
21,28845.0,15.799 ms,28845.0,383.656 ms,28757.0,0.353 ms,27968.932584269663,64.471 ms
22,319.0,2.989 ms,319.0,2.549 ms,317.0,0.222 ms,301.7763157894737,5.18 ms
23,3934.0,4.459 ms,3934.0,15.067 ms,3934.0,0.171 ms,3739.9999999999995,1.456 ms
24,8814.0,48.876 ms,8814.0,314.526 ms,8790.0,0.627 ms,8671.65064102564,356.984 ms
25,2701.0,159.469 ms,2701.0,50.939 ms,2701.0,2.577 ms,2690.4530386740335,556.42 ms
26,4038.0,24.774 ms,4038.0,118.502 ms,4036.0,0.614 ms,3975.0,409.829 ms
27,7042.0,1.024 ms,7042.0,1915.519 ms,7042.0,0.421 ms,6726.222222222222,600.898 ms
28,7317.0,44.614 ms,7240.0,79.287 ms,7297.0,0.325 ms,7141.732323232323,88.969 ms
29,123.0,5.635 ms,123.0,1.614 ms,123.0,0.457 ms,121.0,214.092 ms
30,52173.0,87.776 ms,51453.0,1051.818 ms,52147.0,0.445 ms,51358.61783439491,399.576 ms
31,15751.0,448.953 ms,15662.0,277.897 ms,15751.0,0.571 ms,15586.062814070352,799.245 ms
32,17086.0,47.523 ms,17086.0,501.781 ms,17086.0,0.47 ms,16770.879888268155,581.235 ms
33,36683.0,155.993 ms,36683.0,1278.284 ms,36586.0,0.547 ms,36239.96842105263,692.481 ms
