count,DP1 Running Time,DP2 Running Time,Greedy Running Time,FPTAS Running Time
1,227.28 ms,8069.283 ms,1.624 ms,5474.045 ms
2,145.888 ms,6503.112 ms,1.386 ms,2807.885 ms
3,91.803 ms,5614.88 ms,0.953 ms,2772.0 ms
4,81.798 ms,4558.847 ms,1.254 ms,2199.19 ms
5,79.663 ms,5494.705 ms,0.803 ms,2644.497 ms
6,71.181 ms,4796.198 ms,0.601 ms,2228.977 ms
7,72.27 ms,5408.369 ms,0.859 ms,2469.299 ms
8,80.904 ms,5306.158 ms,0.808 ms,2791.044 ms
9,71.918 ms,5617.309 ms,0.582 ms,2285.103 ms
10,100.693 ms,4959.162 ms,0.699 ms,2704.16 ms
11,105.477 ms,5204.711 ms,0.57 ms,2547.399 ms
12,65.02 ms,4170.681 ms,0.501 ms,2113.236 ms
13,68.09 ms,3896.934 ms,0.531 ms,2090.637 ms
14,72.453 ms,4875.324 ms,0.689 ms,2522.137 ms
15,79.053 ms,5672.403 ms,0.622 ms,2733.49 ms
16,76.481 ms,6030.378 ms,0.599 ms,2722.411 ms
17,79.75 ms,5967.464 ms,0.634 ms,2778.779 ms
18,126.426 ms,4508.756 ms,0.649 ms,2026.983 ms
19,78.972 ms,4848.517 ms,0.66 ms,2479.741 ms
20,71.084 ms,4870.245 ms,0.695 ms,2306.945 ms
21,79.145 ms,5637.407 ms,0.65 ms,2821.055 ms
22,75.224 ms,4847.122 ms,0.695 ms,2443.09 ms
23,84.433 ms,5391.448 ms,0.748 ms,2368.964 ms
24,115.093 ms,4972.852 ms,0.767 ms,2275.977 ms
25,85.23 ms,4367.144 ms,0.628 ms,2096.567 ms
26,75.849 ms,5563.06 ms,0.59 ms,2584.747 ms
27,78.576 ms,4329.84 ms,1.176 ms,2324.272 ms
28,71.183 ms,4460.767 ms,0.614 ms,2284.299 ms
29,71.309 ms,4472.001 ms,0.495 ms,1963.502 ms
30,66.612 ms,3843.044 ms,0.905 ms,2838.989 ms
31,128.243 ms,5604.105 ms,0.903 ms,2566.873 ms
32,358.394 ms,8029.297 ms,2.795 ms,2895.239 ms
33,77.811 ms,5106.125 ms,1.106 ms,3251.013 ms
34,81.938 ms,4776.942 ms,0.599 ms,1961.68 ms
35,88.438 ms,5716.387 ms,0.817 ms,2692.87 ms
36,79.797 ms,5847.464 ms,0.721 ms,2569.95 ms
37,77.538 ms,5565.728 ms,1.531 ms,2956.629 ms
38,88.997 ms,5120.552 ms,0.763 ms,2268.727 ms
39,108.116 ms,4580.342 ms,0.781 ms,2320.991 ms
40,86.516 ms,5254.245 ms,0.61 ms,2836.69 ms
41,93.809 ms,4343.132 ms,0.703 ms,2240.046 ms
42,81.904 ms,4770.706 ms,1.605 ms,3098.703 ms
43,85.692 ms,5197.83 ms,0.627 ms,2855.252 ms
44,67.373 ms,3890.213 ms,0.615 ms,1889.215 ms
45,67.877 ms,3856.073 ms,0.892 ms,2123.328 ms
46,70.411 ms,3849.353 ms,0.831 ms,1930.752 ms
47,77.398 ms,6351.169 ms,0.584 ms,2588.191 ms
48,77.418 ms,6521.894 ms,0.666 ms,5104.702 ms
49,182.702 ms,7546.185 ms,0.588 ms,2819.428 ms
50,80.755 ms,6397.188 ms,0.565 ms,3460.631 ms
51,86.428 ms,5026.633 ms,1.342 ms,2323.173 ms
52,86.867 ms,5002.074 ms,1.182 ms,2879.511 ms
53,132.319 ms,6001.079 ms,0.94 ms,3122.905 ms
54,79.931 ms,4082.43 ms,1.003 ms,1913.82 ms
55,70.712 ms,3343.853 ms,0.988 ms,1613.925 ms
56,92.18 ms,6053.436 ms,2.721 ms,3439.058 ms
57,97.394 ms,5162.787 ms,2.897 ms,3413.8 ms
58,95.313 ms,5756.758 ms,0.811 ms,2893.899 ms
59,92.18 ms,5546.635 ms,1.118 ms,3356.636 ms
60,386.58 ms,7268.505 ms,4.849 ms,4164.446 ms
61,144.695 ms,6285.077 ms,0.789 ms,5380.233 ms
62,102.66 ms,6475.713 ms,2.249 ms,4522.759 ms
63,185.258 ms,8070.13 ms,1.022 ms,3068.198 ms
64,113.112 ms,6406.735 ms,1.302 ms,3150.642 ms
65,188.961 ms,5784.96 ms,1.343 ms,3161.102 ms
66,142.377 ms,7587.765 ms,0.927 ms,3552.519 ms
67,123.155 ms,8974.957 ms,2.527 ms,3914.978 ms
68,117.157 ms,7966.033 ms,2.03 ms,3793.252 ms
69,149.61 ms,7154.885 ms,0.629 ms,2986.234 ms
70,90.021 ms,4934.751 ms,1.271 ms,2668.454 ms
71,112.772 ms,8503.648 ms,5.992 ms,3874.051 ms
72,91.379 ms,7119.004 ms,4.648 ms,4230.147 ms
73,265.072 ms,6747.344 ms,1.33 ms,3090.934 ms
74,135.468 ms,5878.426 ms,0.975 ms,3637.578 ms
75,276.077 ms,6738.956 ms,1.23 ms,3351.025 ms
76,192.142 ms,6616.972 ms,1.007 ms,3730.9 ms
77,156.878 ms,7121.637 ms,0.994 ms,3218.738 ms
78,93.19 ms,5203.778 ms,3.524 ms,2968.972 ms
79,95.136 ms,5013.934 ms,1.465 ms,2266.95 ms
80,112.876 ms,6525.842 ms,3.899 ms,3383.724 ms
81,160.416 ms,7149.371 ms,3.035 ms,3466.06 ms
82,93.523 ms,8827.973 ms,1.631 ms,3823.107 ms
83,114.716 ms,8672.054 ms,0.948 ms,4655.133 ms
84,152.533 ms,7582.057 ms,3.72 ms,3706.478 ms
85,114.322 ms,5630.356 ms,4.647 ms,2897.454 ms
86,130.738 ms,8003.677 ms,0.948 ms,3514.74 ms
87,186.416 ms,6684.66 ms,1.057 ms,2623.539 ms
88,95.991 ms,6690.896 ms,0.663 ms,3439.553 ms
89,124.052 ms,6320.132 ms,1.325 ms,4353.08 ms
90,146.282 ms,9619.391 ms,0.774 ms,2434.893 ms
91,146.07 ms,10221.598 ms,1.208 ms,6435.221 ms
92,142.352 ms,10581.282 ms,1.63 ms,7123.673 ms
93,164.822 ms,7863.49 ms,0.937 ms,3900.224 ms
94,108.687 ms,9250.145 ms,0.948 ms,4074.711 ms
95,96.675 ms,5359.082 ms,1.033 ms,2692.158 ms
96,84.17 ms,4516.727 ms,0.903 ms,2065.493 ms
97,94.163 ms,4759.316 ms,1.641 ms,2801.017 ms
98,85.558 ms,5949.522 ms,0.745 ms,2646.326 ms
99,92.423 ms,6493.606 ms,0.846 ms,2590.911 ms
100,120.554 ms,5654.697 ms,2.751 ms,3257.536 ms
101,112.727 ms,8098.836 ms,1.258 ms,3796.923 ms
102,105.492 ms,7111.669 ms,0.865 ms,2816.347 ms
103,81.399 ms,4194.218 ms,0.628 ms,3545.909 ms
104,167.538 ms,6548.827 ms,1.545 ms,3504.792 ms
105,297.305 ms,11755.812 ms,1.005 ms,3474.033 ms
106,125.303 ms,8202.842 ms,3.236 ms,4050.814 ms
107,105.149 ms,5966.367 ms,4.751 ms,4329.006 ms
108,141.862 ms,7223.866 ms,0.635 ms,4344.194 ms
109,128.901 ms,6857.601 ms,5.144 ms,3173.808 ms
110,93.895 ms,5044.27 ms,1.064 ms,3057.989 ms
111,142.689 ms,8102.163 ms,0.656 ms,4149.827 ms
112,180.18 ms,7224.029 ms,2.946 ms,5251.874 ms
113,155.377 ms,8570.749 ms,5.23 ms,4125.407 ms
114,154.742 ms,8687.383 ms,3.551 ms,3871.894 ms
115,131.966 ms,5714.763 ms,3.207 ms,3018.261 ms
116,115.642 ms,5179.978 ms,1.0 ms,3245.066 ms
117,124.892 ms,4529.274 ms,0.708 ms,2304.275 ms
118,111.517 ms,5950.926 ms,1.064 ms,2832.474 ms
119,133.209 ms,6385.39 ms,0.801 ms,3466.351 ms
120,117.527 ms,6711.357 ms,29.157 ms,3084.352 ms
121,110.982 ms,6620.545 ms,1.594 ms,4062.658 ms
122,95.328 ms,6560.066 ms,3.483 ms,3152.283 ms
123,103.779 ms,6345.112 ms,4.53 ms,3177.139 ms
124,157.555 ms,7732.572 ms,3.087 ms,3648.434 ms
125,85.934 ms,6539.982 ms,4.075 ms,3277.735 ms
126,129.975 ms,7717.004 ms,1.348 ms,4254.133 ms
127,136.633 ms,6924.435 ms,0.869 ms,3570.684 ms
128,172.137 ms,8964.889 ms,1.195 ms,4113.097 ms
129,110.152 ms,7062.568 ms,1.308 ms,3419.317 ms
130,121.942 ms,7974.562 ms,2.359 ms,3840.356 ms
131,219.187 ms,6033.907 ms,0.77 ms,4733.133 ms
132,114.804 ms,6668.713 ms,5.497 ms,2866.315 ms
133,146.628 ms,7376.875 ms,5.678 ms,4047.255 ms
134,152.897 ms,8646.408 ms,0.808 ms,3470.512 ms
135,121.458 ms,14530.209 ms,1.253 ms,4488.762 ms
136,95.885 ms,8129.818 ms,1.641 ms,3873.513 ms
137,101.288 ms,5125.531 ms,1.046 ms,2433.416 ms
138,99.377 ms,5113.404 ms,0.529 ms,2393.66 ms
139,95.177 ms,5700.517 ms,0.575 ms,2925.543 ms
140,89.314 ms,5948.136 ms,1.687 ms,5868.073 ms
141,192.444 ms,9841.471 ms,6.86 ms,4514.286 ms
142,101.677 ms,6649.31 ms,1.058 ms,3302.201 ms
143,83.521 ms,5696.621 ms,1.343 ms,2685.768 ms
144,103.889 ms,6660.362 ms,2.588 ms,2884.203 ms
145,92.37 ms,5866.291 ms,0.764 ms,2884.267 ms
146,85.068 ms,4539.42 ms,7.614 ms,2391.2 ms
147,109.238 ms,4681.58 ms,1.166 ms,2612.279 ms
148,86.951 ms,5087.543 ms,2.68 ms,2389.908 ms
149,105.382 ms,4623.859 ms,0.792 ms,2357.294 ms
150,88.883 ms,4805.718 ms,0.829 ms,2394.82 ms
151,86.267 ms,4560.841 ms,0.831 ms,2469.102 ms
152,87.076 ms,4773.138 ms,0.504 ms,2324.732 ms
153,90.459 ms,4571.371 ms,0.7 ms,2343.299 ms
154,92.365 ms,6224.133 ms,0.627 ms,3823.699 ms
155,136.936 ms,7099.601 ms,1.341 ms,8215.201 ms
156,189.705 ms,16940.26 ms,0.861 ms,5232.463 ms
157,118.018 ms,7356.144 ms,0.788 ms,4880.894 ms
